desc_1,desc_2,desc_3,desc_4,desc_5,desc_6,desc_7,desc_8,desc_9,desc_10,pres_1,pres_2,pres_3,pres_4,pres_5,pres_6,pres_7,pres_8,pres_9,pres_10,black_1,black_2,black_3,black_4,trans_1,trans_2,trans_3,trans_4,fat_1,fat_2,fat_3,fat_4,police_1,police_2,police_3,police_4,lawyers_1,lawyers_2,lawyers_3,lawyers_4,business_1,business_2,business_3,business_4,prostitutes_1,prostitutes_2,prostitutes_3,prostitutes_4,dealers_1,dealers_2,dealers_3,dealers_4,blind_1,blind_2,blind_3,blind_4,deaf_1,deaf_2,deaf_3,deaf_4,therm_1,therm_2,therm_3,therm_4,therm_5,therm_6,therm_7,therm_8,therm_9,therm_10,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,age,gender,race,conservative,democrat
36,70,43,50,81,30,70,76,5,10,20,29,39,50,70,52,50,59,2,3,5,4,4,4,6,6,6,6,6,5,5,5,4,5,5,5,6,6,6,6,6,6,6,6,5,6,5,5,4,5,5,5,4,5,5,5,3,3,4,4,81,73,64,50,46,54,57,52,93,87,19,16,17,16,19,18,42,male,asian,2,7
3,17,36,13,56,29,70,92,1,5,1,5,9,1,26,4,69,96,2,2,1,1,1,1,3,2,4,5,4,4,4,4,2,2,3,4,4,4,6,5,2,2,4,4,4,4,4,4,5,5,5,6,2,2,1,2,2,2,2,3,100,74,56,100,43,82,29,4,100,100,20,18,18,19,21,21,50,Male,Caucasian,5,5
31,41,60,52,71,6,65,88,1,1,50,80,53,54,62,11,74,79,1,1,5,7,7,7,4,7,7,7,5,7,7,7,5,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,100,100,100,23,57,70,2,0,100,100,20,19,21,18,16,20,45,female,caucasian,6,4
31,53,54,41,1,21,32,31,1,1,28,54,31,49,51,75,81,74,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,5,5,5,5,100,100,100,71,99,83,72,55,99,100,16,15,16,16,16,17,23,female,black,2,6
15,45,30,20,75,25,80,90,0,0,0,0,0,15,60,30,80,100,0,0,6,3,2,2,7,1,2,2,6,5,2,3,6,4,3,3,6,6,2,2,7,5,3,3,6,3,2,2,6,5,2,2,6,4,3,3,6,1,2,2,100,100,93,96,86,78,11,0,100,100,20,18,21,18,18,21,43,female,white,4,4
49,51,51,47,51,28,61,62,50,48,16,38,30,30,39,17,50,60,3,3,4,4,4,4,3,3,2,2,4,4,4,4,3,2,2,2,4,4,4,3,2,2,2,2,3,3,3,3,5,5,5,5,5,5,4,4,3,3,3,2,5,0,21,24,17,14,4,62,0,0,17,16,19,18,15,18,29,Female,European American,3,5
52,56,53,60,49,53,57,45,53,56,51,59,65,63,54,55,60,61,61,59,7,7,1,5,5,1,2,1,4,2,4,4,2,2,7,6,3,2,3,7,2,3,1,2,3,1,7,6,2,4,1,4,1,3,2,3,6,7,3,7,62,59,59,56,61,66,65,61,58,69,20,20,17,17,17,16,26,m,w,2,6
37,40,35,27,60,28,25,67,5,5,0,0,5,10,25,22,5,40,0,0,5,5,2,3,5,5,3,3,5,4,3,3,5,5,3,3,5,5,3,3,5,5,3,3,5,4,3,3,5,5,3,3,5,4,3,3,5,4,3,3,0,0,0,10,8,16,3,15,0,0,17,16,16,16,16,17,64,Male,Caucasian,2,6
51,55,51,44,50,49,56,49,46,52,54,55,51,52,52,55,50,51,50,53,5,5,5,6,2,6,3,2,2,1,6,3,1,3,2,6,3,2,1,5,6,3,6,2,4,3,7,5,7,1,3,3,6,6,5,4,5,1,3,3,56,50,59,56,53,63,63,55,59,60,16,16,21,20,15,17,26,m,w,1,7
49,51,47,60,48,44,56,60,41,51,47,50,44,61,36,51,48,52,42,47,4,6,3,7,3,5,4,3,4,1,5,7,3,2,6,3,5,5,5,4,4,7,3,4,5,2,6,7,3,6,4,5,7,4,6,3,3,4,7,3,57,46,59,55,45,63,51,65,58,56,21,21,21,16,19,21,25,m,w,2,6
53,26,91,57,77,16,99,100,3,8,1,1,37,99,52,10,100,99,1,1,2,3,4,4,6,1,1,2,1,2,2,2,3,6,7,7,3,5,6,6,6,5,7,6,2,6,7,5,7,7,7,6,7,1,5,6,5,6,7,5,61,13,28,18,44,78,1,1,99,99,21,20,16,20,17,21,27,Male,Caucasian,5,3
83,88,75,79,88,83,83,100,90,64,2,0,14,0,15,0,20,0,6,0,4,4,4,4,4,4,4,4,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,100,100,100,100,100,100,100,100,100,18,18,21,21,21,18,23,male,white,4,4
12,61,22,51,100,98,86,88,10,6,7,25,16,77,89,90,68,96,6,8,7,3,4,5,7,4,5,5,7,5,5,6,7,7,6,6,7,5,6,6,7,6,6,7,7,4,5,3,7,4,5,5,7,2,3,4,7,4,4,4,100,29,53,19,21,22,80,33,92,81,20,19,19,20,18,19,34,male,white,4,4
0,0,0,0,0,0,0,0,0,0,50,51,51,50,50,50,50,50,51,50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,100,100,100,100,0,0,100,100,18,18,18,18,18,18,,,,,
20,20,30,5,6,3,20,91,1,1,6,10,20,5,65,70,91,91,0,0,6,6,6,6,4,4,3,4,6,5,5,6,6,5,4,5,6,6,6,6,6,4,5,4,6,4,4,5,5,6,4,3,6,6,6,6,6,6,6,6,53,50,44,95,52,51,51,0,88,89,20,18,19,18,19,17,29,male,White,4,4
30,60,75,40,70,35,65,70,30,15,20,40,40,40,60,24,80,80,10,10,5,5,5,5,5,3,4,4,5,5,4,4,5,3,4,4,4,4,4,4,7,7,7,7,3,3,3,3,2,3,3,3,3,3,3,3,6,6,6,6,75,54,81,42,41,53,31,53,91,92,18,16,16,16,17,16,32,Female,White,2,6
35,20,50,40,60,30,30,70,0,0,30,10,50,31,80,20,50,80,0,0,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,2,6,6,6,6,7,7,7,7,6,2,2,4,7,7,7,7,7,5,5,5,2,2,2,2,40,52,40,100,27,39,63,0,52,57,21,15,21,21,21,21,30,male,caucasian,5,3
31,38,28,29,36,21,85,96,5,8,0,0,0,0,50,16,15,100,0,0,6,3,5,5,6,4,6,6,6,4,5,5,7,5,6,6,6,6,6,6,6,4,5,5,6,4,4,4,6,5,6,6,6,5,4,4,6,3,4,4,99,99,83,79,28,68,79,9,95,99,19,16,19,16,16,19,58,Female,White,2,6
25,20,60,30,80,50,30,60,5,5,10,10,5,5,20,10,15,0,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,50,63,48,58,50,51,49,21,51,50,19,15,18,16,16,19,38,male,white,2,6
20,85,20,45,20,40,65,55,0,0,20,90,1,45,28,35,80,65,0,0,4,2,3,2,6,7,6,6,4,5,5,6,1,2,2,1,7,6,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,5,6,6,5,4,4,3,100,0,60,91,77,69,29,11,100,100,19,15,18,16,19,17,24,Male,African American,2,6
40,24,68,45,75,50,54,60,42,54,77,50,63,45,47,48,46,65,57,79,2,5,4,6,6,5,7,6,4,6,5,7,5,3,4,5,4,4,6,5,2,5,4,3,6,3,4,3,3,5,4,6,7,6,6,5,4,5,3,6,62,42,53,53,45,62,72,41,78,68,17,17,20,19,19,20,32,male,white,5,3
80,42,83,50,70,65,98,62,35,27,5,1,1,5,51,51,47,79,1,0,7,4,4,4,4,1,1,1,7,3,3,3,5,1,1,1,6,5,5,5,7,5,5,5,4,3,3,3,7,6,6,6,6,1,1,1,7,1,1,1,80,92,94,97,8,6,4,25,100,100,21,19,20,18,20,20,42,Female ,White ,6,2
